ID,Average Rating,Latitude,Longitude,Person Capacity,Price
4112094,4.57,42.37843,-71.14272,5,$120
14449525,4.83,42.37712,-71.14348,3,$123
5320198,,42.37406,-71.12648,1,$30
7881324,4.96,42.37464,-71.10695,3,$118
15023471,5.0,42.37522,-71.11034,5,$298
44340842,4.79,42.37674,-71.10503,2,$117
15930566,4.95,42.37734,-71.10705,6,$252
46659757,5.0,42.37682,-71.10854,2,$107
3174464,4.88,42.3748,-71.10171,2,$130
36884086,,42.377407,-71.102997,1,$63
14914342,5.0,42.37667,-71.11024,4,$255
17458872,4.91,42.37797,-71.10162,5,$196
45085165,4.83,42.3765,-71.10685,1,$123
32407309,5.0,42.37612,-71.11103,4,$200
25728312,4.1,42.37675,-71.10975,2,$60
6660580,4.9,42.37441,-71.10277,2,$108
7883909,4.86,42.37544,-71.10703,2,$142
47120014,4.75,42.37623,-71.10515,2,$130
46266007,,42.37828,-71.10658,2,$127
36983815,,42.377407,-71.102997,1,$65
45095072,,42.37647,-71.10705,2,$117
40871791,,42.37655,-71.10375,1,$62
38057036,,42.37478,-71.10936,6,$237
20597669,4.98,42.37806,-71.10838,2,$125
16672401,,42.37968,-71.10501,6,$300
45736876,,42.37845,-71.10213,4,$175
29778001,,42.37592,-71.11103,6,$350
25687175,5.0,42.37925,-71.11994,4,$144
36935753,,42.377407,-71.102997,1,$59
1216161,5.0,42.3757,-71.1086,5,$135
46659113,,42.37622,-71.10556,2,$127
13154395,4.33,42.37898,-71.10563,1,$43
10362835,4.78,42.37747,-71.10328,2,$200
38360503,3.5,42.37487,-71.11385,2,$130
36197065,5.0,42.37447,-71.11327,6,"$1,150"
5297854,4.74,42.37884,-71.10716,2,$60
6639647,4.86,42.37751,-71.10325,1,$200
9371115,,42.3783,-71.11025,9,$528
281264,4.78,42.38195,-71.09913,2,$85
26190089,4.7,42.37919,-71.0961,2,$85
21410959,4.74,42.37568,-71.10044,1,$55
22745802,4.9,42.3813,-71.09864,3,$190
4279231,4.88,42.37574,-71.09909,2,$120
50411282,4.48,42.38339,-71.09324,6,$164
51706910,5.0,42.38139,-71.09834,2,$200
1209491,4.87,42.37541,-71.09779,2,$120
42996911,5.0,42.37584,-71.09595,2,$160
28215021,4.79,42.37697,-71.09656,1,$47
42950780,4.94,42.37615,-71.09954,5,$179
33704059,4.93,42.38315,-71.08931,12,$350
